"","money"
"1","The International Monetary Fund (IMF) said it has approved a further $44.5 million (33.3 million pounds) credit for Madagascar, as part of a drive to support the country's economic recovery."
"2","The NFL proposed joining with its players in a bid to spur social justice change, although not all players are on board with the proposal."
"3","India's cricket board was fined 522.4 million rupees (&#163;6.05 million) by the country's antitrust watchdog on Wednesday for misusing its dominant position and anti-competitive practices in awarding broadcast rights for the Indian Premier League..."
"4","The Ford Foundation and the Walton Family Foundation have created a campaign to hire and develop the careers of minorities."
"5","Attorneys for a prominent Florida eye doctor used a statistician to challenge the government's assertion that he stole $100 million from the federal Medicaid program."
"6","An arbitration court ordered smartphone pioneer BlackBerry Ltd to pay $137 million to Nokia to settle a payment dispute and the Canadian company said it would pursue a separate patent infringement case against the Finnish firm."
"7","A national home health care agency with six locations in Massachusetts has agreed to pay $14 million to settle allegations that it improperly billed the state's Medicaid program."
"8","Iraqi Kurdistan-focused oil producer Genel Energy plc said on Wednesday it is seeking to reduce its bond debt to $300 million (223.4 million pounds) from the currently outstanding $421.8 million."
"9","Federal officials say a Netherlands-based maker of equipment for offshore oil drilling will pay $238 million to settle charges of paying bribes to officials in five oil-producing countries."
"10","Robert S. Mueller III, the special counsel investigating the Trump campaign’s ties to Russia, spent almost $7 million in its first four and a half months, he said."
"11","Saudi Arabia has pledged $100 million to a new regional military force battling jihadist groups in West Africa's Sahel region, force member Mali said on Monday. "
"12","A fugitive Kentucky lawyer who called himself ""Mr. Social Security"" was deported from Honduras on Tuesday where he had fled after pleading guilty in a $550 million disability fraud scheme, U.S. authorities said."
"13","A federal judge heard wildly conflicting stories Tuesday about a prominent Florida eye doctor convicted in a $100 million Medicare fraud scheme. Some former patients said Dr. Salomon Melgen restored their sight for free, while others described pai..."
"14","Maine officials say they have no clues and have made no progress in the case of a hit-and-run driver who caused $3 million in damage by cracking a highway overpass."
"15","The GAVI global vaccine alliance has earmarked $85 million (&#163;62.8 million) to help support the introduction of typhoid vaccines in poor countries where millions of children are at risk of the often deadly disease."
"16","Delivery Hero, the world's largest online takeaway food delivery group, said on Tuesday it would offer shares worth 686 million euros (&#163;602.8 million) to investors, raking in cash to expand its business through takeovers."
"17","Ecuador has agreed to pay $337 million to ConocoPhillips-subsidiary Burlington Resources five years after a ruling that the South American nation illegally expropriated valuable oil assets."
"18","The Latest on the sentencing hearing for a prominent Florida eye doctor accused of bribing U.S. Sen. Bob Menendez of New Jersey (all times local):"
"19","Just over $40 million in compensation has been paid to 189 people who identified themselves as victims of clergy sex abuse, the Archdiocese of New York said in a report released Thursday."
"20","Millions of Southern Californians already dealing with a siege of destructive wildfires received an unprecedented text alert warning them to be ready for extreme fire potential early Thursday, but conditions turned out to be less dire than predict..."
"21","Either Dr. Salomon Melgen is one of the biggest Medicare swindlers ever, stealing more than $100 million from the federal health care program, or a penny ante thief who walked off with $64,000."
"22","Macedonian police say they have seized half a million tablets of synthetic drugs from a laboratory in the west of the country, and arrested six people suspected of drug production and trafficking."
"23","A Slovenian cryptocurrency mining marketplace, NiceHash, said it lost about $64 million worth of bitcoin in a hack of its payment system, the latest incident to highlight risks that uneven oversight and security pose to booming digital currencies...."
