"","date"
"1","Tree sellers warn that market forces tied to the recession are driving up the price of trees and, in some places, making them scarce."
"2","In “Christmas: A Biography,” Judith Flanders has unearthed a strange and varied history that includes taxes, demons and goat skeletons."
"3","Notable new seasonal releases from a wide variety of artists, including Gwen Stefani, Sia, Herb Alpert and Liz McComb. And some golden-oldie reissues."
"4","This drama purports that Charles Dickens took inspiration for his fictional characters from real-life encounters."
"5","In “Mr. Dickens and His Carol,” Samantha Silva imagines the circumstances around the writer’s beloved holiday book."
"6","Why are we all so bedazzled by the store vitrines of the season?"
"7","The wintry décor season came early this year."
"8","Join workers as they transport and dress a 75-foot Norway spruce from Pennsylvania for the annual tree lighting ceremony in Rockefeller Center."
"9","Hot toys like the Barbie Hello Dreamhouse quickly sold out online this year, then appeared on eBay and Amazon at inflated prices."
"10","When you need an over-the-top, talking, moving, blinking, singing Christmas display, call Lou Nasti, maestro of the holiday lawn ornament."
"11","Christmas in Ireland is magical, and these four getaways are packed with perks, amenities, and luxurious destinations."
"12","Caryn B. Davis, a photographer, captures the warmth of the winter holiday season in her new book “A Connecticut Christmas.”"
"13","Seeing the Nutcracker, tweaking family traditions, spilling the beans about Santa and more in this season’s holiday books for children."
"14","What to see, where to eat and how to get cheap tickets – everything you need to navigate the holiday season."
"15","Christmas stalwarts like the Rockettes’ Radio City show, participatory events including a festive caroling walk, and even a dose of Taylor Mac’s wild cabaret."
"16","The first lady, Melania Trump, unveiled the decorations for her family’s first holiday season in the White House."
"17","It was a squirrel that nearly stole Christmas in a New Jersey town."
"18","Thousands have gathered in midtown Manhattan to watch the annual lighting of the Christmas tree in Rockefeller Center."
"19","A preview of the film."
"20","The 2017 cup shows two interlocked cartoon hands. Some conservatives accuse the company of promoting a “gay agenda.”"
"21","To promote an advent calendar, Greggs stirred outrage with a Nativity scene in which the infant Jesus was replaced by a flaky sausage roll."
"22","A 25-year-old Bosnian man has been arrested in the Austrian city of Graz on suspicion of planning an attack on its Christmas market, police said on Thursday.    "
"23","Old Rockefeller Center Christmas trees never really die, they just get built into the wall frames and floor supports of affordable homes."
"24","Amazon.com Inc's Australian arm began taking orders on Tuesday, ending speculation about the timing of its launch in the world's No. 12 economy and likely dashing hopes of a holiday boost for struggling brick-and-mortar rivals."
"25","From the White House and the Eiffel Tower to butterflies and wedding cakes, a Polish company can make any kind of blown-glass Christmas tree decorations that clients fancy."
"26","Police in Northern California say people looking for a Christmas tree found a partially clothed woman who had been kidnapped and abandoned in a rural area."
"27","Known as Christmas tree worms, these sea creatures’ bright fir-like cones can be spotted while diving around reefs in tropical waters."
"28","A Christmas tree that was transported more than 3,600 miles (5,793 kilometers) from Montana's Kootenai National Forest has been lit on the West Lawn of the U.S. Capitol."
"29","Nearly a decade after the recession began, Christmas tree aficionados are feeling the pinch."
"30","The police evacuated the market after a suspicious package was found nearby, reviving fears that the popular holiday spots remain vulnerable."
"31","American Airlines said Thursday that only a few hundred of its late-December flights remain without pilots scheduled to fly the plane and the airline has not canceled any holiday-season flights."
"32","The accepted mantra throughout the NFL that stretches to its fandom is that each game in the schedule is equally important."
"33","Ringing in the holidays for the first time from Washington, President Donald Trump lit the National Christmas Tree Thursday evening, wishing the country ""a Merry Christmas"" &#8212; as he vowed to do during his campaign."
"34","German police said Saturday it appeared doubtful that a suspicious package containing nails that led to a bomb scare in a city near Berlin was targeted at a Christmas market."
"35","Destinations around the U.S. are dressing up for Christmas with trees, lights and holiday magic. Here's a look at a few events, displays and other attractions."
"36","British manufacturers called for their government and the European Union to reach a Brexit transition deal before Christmas, or else risk damaging uncertainty in 2018."
"37","Manchester City defender John Stones is targeting a return from his hamstring injury during the Premier League club's packed Christmas schedule, the England international has said."
"38","Christmastime Nativity scenes usually feature donkeys, cows and sheep. That could help explain the interest generated when divers mounted a creche in the shark tank of the aquarium in the Italian Adriatic city of Cattolica."
"39","German police on Friday secured a device full of wires and nails found near an outdoor Christmas market in the city of Potsdam, but could not establish whether it had contained explosives."
"40","Residents of a small French town are hoping to break a record for the world's biggest Provencal nativity scene."
"41","A family could be forced to turn off its intricate Christmas display decorated with 300,000 lights because of complaints from neighbors about traffic and parking."
"42","Police in a Massachusetts town are showing residents how not to transport their holiday trees."
"43","Ballerinas leaping to the strains of Tchaikovsky's ""The Nutcracker"" helped launch Christmas at the White House, featuring a traditional decor that Melania Trump chose for her family's first holiday season in the White House."
"44","Newcastle United manager Rafa Benitez has asked his players to ensure six points in their next six Premier League games to avoid being dragged into a relegation battle."
"45","With Christmas around the corner, Wick Farm in Colchester, eastern England, is gearing up by harvesting its crop of fir trees."
"46","CNN says it is boycotting this year's White House media Christmas party."
"47","Fa-la-la-la-la with President Merry Christmas."
"48","Palestinians switched off Christmas lights at Jesus' traditional birthplace in Bethlehem on Wednesday night in protest at U.S. President Donald Trump's decision to recognize Jerusalem as Israel's capital."
"49","Major British business groups and trade unions called on Wednesday for Britain and the European Union to end the uncertainty around citizens' rights after Brexit and guarantee before Christmas that there will be no change."
"50","The members of Dominican Sisters of Mary, Mother of the Eucharist, silently filed into the chapel. Within minutes, they were singing &#8212; first in unison, then in a transfixing, layered harmony that reverberated off the marble floors, wood-pane..."
"51","Palestinians switched off Christmas lights at Jesus' traditional birthplace in Bethlehem on Wednesday night in protest at U.S. President Donald Trump's decision to recognize Jerusalem as Israel's capital."
"52","Germany's Christmas markets opened on Monday at the start of the holiday season, with security staff on hand and concrete barriers to protect shoppers, nearly a year after an Islamist militant killed 12 people by driving a truck into crowds."
"53","Inmates are barred from reading titles from best-selling publications to the obscure because they run afoul of prison guidelines, like having graphic sexual content."
"54","Vermont's towering state Christmas tree has meaning far beyond the holiday season for one family."
"55","Charlie Brown gets the holiday blues. And amateur magicians try to fool Penn & Teller."
"56","A planned meeting of foreign ministers to discuss the North Korean crisis is not scheduled to take place before the Christmas break in late December, a Canadian official said on Tuesday. "
"57","Also the week of Nov. 19: James Levine returns to the Met Opera; Noname and Daniel Caesar perform in Chicago."
"58","Traditional Christmas markets are opening across Germany amid heightened security, almost a year after a terror attack on a Berlin Christmas market killed 12."
"59","The Latest on the suspicious device found near a Christmas market in Germany: (all times local):"
"60","In which we consult the Book Review’s past to shed light on the books of the present. This week: Thomas Mallon on “A Christmas Carol.”"
"61","iTunes Official Music Charts for the week ending November 30, 2017:"
"62","Five townspeople are dead in western Guatemala after they were electrocuted while hanging ornaments on a large, artificial outdoor Christmas tree."
"63","Welcome back, Donner and Blitzen! And thanks for bringing along Gwen Stefani, Tariji P. Henson and ""Love Actually"" to a holiday TV lineup that mixes the familiar and the fresh."
"64","Inside a massive, nondescript warehouse just north of New York City, it always looks a lot like Christmas."
"65","Our guide to cultural events in New York City for families with children and teenagers."
"66","So you polished off the pumpkin pie at Thanksgiving, watched Black Friday and Cyber Monday come and go, and now &#8212; just now &#8212; you're thinking that it might be time to make your Christmas travel reservations."
"67","Representatives for a Maine Toys R Us store say a husband and wife stopped in to pay off $10,000 in layaway orders for other families."
"68","The chairman of the U.S. Senate Finance Committee said on Wednesday a final tax bill Republicans hope to get to President Donald Trump by Christmas likely will not retain a corporate alternative minimum tax."
"69","About 51 million Americans are expected to fly on U.S. airlines in the three weeks around Christmas and New Year's Day, a 3.5 percent increase over last year."
"70","German police evacuated a popular Christmas market in the city of Potsdam on Friday before destroying a suspicious package containing nails and an unidentified powder in a controlled explosion, officials said."
"71","A suspicious package containing nails that led to a bomb scare at a Christmas market in Germany was part of a blackmailing plot against a delivery company, German authorities said Sunday."
"72","A toy company and strangers are pitching in to help a Maryland woman find a particularly important Christmas gift for her disabled brother."
"73","Officials with a county school district in Maryland say they have halted school-related trips to Baltimore because of escalating violence in the city."
"74","German authorities investigating the delivery of a package containing powerful firecrackers, wires and nails to a pharmacy near a Christmas market in the city of Potsdam said on Sunday it was criminal activity rather than ""terrorism."""
"75","Cindy Lou Who has grown up bad in Matthew Lombardo’s profane, rhyme-filled holiday-season take on Dr. Seuss."
"76","Holiday movies, updated: Daddy Warbucks, sexual predator; Bob Cratchit’s lawyers accuse Scrooge of toxic work environment; George Bailey dogged by harassment claims."
"77","American Airlines reached an agreement Friday with its pilots' union to avoid having to cancel thousands of flights during the Christmas holiday season because of a glitch with the pilots' schedules."
"78","Our guide to film series and special screenings."
"79","Kurt Warner will replace Cris Collinsworth for two late-season NFL game telecasts."
"80","A prominent airline analyst says American Airlines will pay about $10 million to fix the pilot-scheduling mix-up that left thousands of unstaffed flights around Christmas."
"81","German police briefly closed off a portion of a street in a southern city after a suspicious package was sent to a building amid ongoing jitters about a murky plot to extort money from delivery company DHL Express."
"82","Toys R Us UK is to seek creditor approval for a restructuring plan involving closing at least 26 of its 105 stores in Britain in 2018, it said on Monday."
"83","German Chancellor Angela Merkel plans to meet relatives of the 12 people killed in the truck attack on a Berlin Christmas market after the families alleged her government had provided insufficient financial assistance."
"84","A scheduling glitch has left American Airlines scrambling to find pilots to operate thousands of flights over the busy Christmas holiday period."
"85","Hard-right conservatives are rebelling against a plan by House GOP leaders for a two-week reprieve from a possible government shutdown next week."
"86","Two suburban New York railroads will have a 24-hour alcohol ban to help curb naughtiness during next weekend's SantaCon, an annual pub crawl that draws revelers costumed as Santa Claus and other Christmas characters."
"87","The German Savings Banks Association named Helmut Schleweis as its new President on Tuesday, succeeding Georg Fahrenschon who stepped down this month after an inquiry into his tax affairs."
"88","Bien Cuit’s version of the sweet German Christmas bread hits all the right notes."
"89","Police in a New Hampshire town are looking for Zippy, a beloved life-size elf on a shelf that usually can be seen at various sites leading up to Christmas."
"90","Atlanta rapper 2 Chainz has recreated the front of his ""Pink Trap House"" for a holiday ""Trap Wonderland."""
"91","President Donald Trump will attend a trio of fundraising events in New York City Saturday."
"92","Police say a Massachusetts man has died hours after being hit by a car near a Delaware home where people flock each year to see its elaborate Christmas lights."
"93","Police say a 23-year-old woman left her dead newborn child in a bag under the porch of her father's Pennsylvania home."
"94","Friday: Christmas tree-hunting tips, guided hikes through city parks, and a history of sidewalk tree vendors."
"95","A Secret Santa has spent more than $10,000 to pay for dozens of holiday layaway orders at a New Jersey toy store."
