"","person"
"1","In recent years, the one-time bastion of Catholic conservatism has moved left on same-sex marriage and gay rights, and is poised to repeal a constitutional ban on abortion."
"2","A motion of no-confidence in the deputy prime minister, filed by the main opposition party, could end a fragile coalition just as Dublin wrestles with Brexit talks."
"3","The resignation of the deputy prime minister kept the government intact, but the crisis left Dublin vulnerable before talks on the future of its border with Britain."
"4","A guide to the label’s catalog, which encompasses jazz, classical music and cross-cultural fusions."
"5","Our critics picked St. Vincent and Lorde, Kendrick Lamar and J. Cole, Julien Baker and Taylor Swift, Nicole Mitchell and Tyshawn Sorey — and many more."
"6","Britain said on Thursday that talks about moving the Brexit process forward were ""ongoing"" after Prime Minister Theresa May spoke to Irish Prime Minister Leo Varadkar and European Commission President Jean-Claude Juncker."
"7","A statement by Irish Prime Minister Leo Varadkar on the progress of Brexit talks between Britain and the European Union has been delayed, a spokesman said."
"8","Britain's Prime Minister Theresa May and European Commission President Jean-Claude Juncker may meet early on Friday to reach a deal on the Irish border after Brexit, a Commission spokesman said on Thursday."
"9","Ireland wants to reach an agreement on the future of the Irish border after Brexit that is based on the principles struck in a tentative deal on Monday, Prime Minister Leo Varadkar said on Tuesday. "
"10","Irish Prime Minister Leo Varadkar on Thursday named Foreign Minister Simon Coveney as deputy prime minister, replacing Frances Fitzgerald, whose resignation over a policing scandal on Tuesday allowed the government to avoid a snap election."
"11","The two independent cabinet ministers that support Prime Minister Leo Varadkar's minority government said the uncertainty over the future of his deputy prime minister was 'very grave'."
"12","The Irish government's still believes Deputy Prime Minister Frances Fitzgerald should not resign over her handling of a case involving a police whistleblower despite renewed opposition calls for her to do so, a spokesman said on Monday."
"13","Irish Prime Minister Leo Varadkar said on Friday that the British government must produce credible, concrete solutions in the coming days to ensure there will be no hard border in Ireland if it wants to move on to the next phase of Brexit talks. "
"14","Progress is being made in talks between Britain and the EU on how to avoid setting up a physical infrastructure on Northern Ireland's border after the United Kingdom leaves the EU in 2019, Irish Prime Minister Leo Varadkar said on Wednesday."
"15","Ireland has made ""significant progress"" in talks with Britain on the future of the Northern Irish border, but the sides are ""not there yet"", a spokesman for Prime Minister Leo Varadkar said on Monday."
"16","Irish Prime Minister Leo Varadkar and opposition leader Micheal Martin are doing everything they can to find a compromise to a political crisis and avoid a snap election, Varadkar said ahead of talks between the two later on Monday."
"17","The chairman of European Union leaders said on Monday he was encouraged by the progress of talks on avoiding a physical border between Ireland and Northern Ireland after Britain leaves the EU, which brought closer the prospect of starting trade ta..."
"18","British Prime Minister Theresa May told her Irish counterpart Leo Varadkar that she would propose suggestions to Brexit negotiators over the next 24 hours to try to break an impasse on the issue of the Irish border, Varadkar said on Wednesday."
"19","The Latest on the political situation in Ireland (all times local):"
"20","Wolverhampton Wanderers re-established a four-point lead at the top of the Championship with the help of goal-line technology in their 1-0 win over Midlands rivals Birmingham City on Monday."
"21","The Latest on the Brexit talks (all times local):"
"22","There have been attempts to merge Brooklyn and Queens libraries into the New York Public Library system. But there are practical reasons for not doing so."
"23","A guy with an insatiable appetite for chicken nuggets and President Barack Obama are among those making the biggest splash on Twitter this year. Twitter on Tuesday released its top trending people and topics for 2017, ranging from sports, to polit..."
"24","Irish Prime Minister Leo Varadkar's Fine Gael party surged into an 11-point lead in a poll on Thursday, gaining credit for the government's Brexit negotiating stance and indicating its recent near-collapse had not hurt his popularity."
"25","Ireland might consider adding elements to the text of an agreement on the post-Brexit future of Northern Ireland's border as long as they do not undermine those already contained in the deal, the Irish Times reported on Tuesday. "
"26","It is not yet clear if Britain and the European Union can agree on written assurances to avoid a hard Northern Ireland border by a Monday deadline, Irish Foreign Minister Simon Coveney said on Sunday. "
"27","Ireland's deputy prime minister resigned Tuesday to avert a parliamentary vote that would have collapsed the government and triggered a snap election at a crunch time for Brexit negotiations."
"28","Wolverhampton Wanderers extended their lead at the top of the Championship to seven points with a 5-1 victory over Bolton Wanderers at Molineux on Saturday."
"29","British Prime Minister Theresa May failed to secure a breakthrough in Brexit talks on Monday with European Commission President Jean-Claude Juncker. "
"30","Here is a timeline of the coming few days that will determine whether Britain avoids further costly delays in giving business assurances of a smooth exit from the European Union and of free trade with its biggest market in the future: "
"31","The Latest on Britain's talks to leave the European Union (all times local):"
"32","Ireland expects the U.K. to make a new Brexit proposal by Friday as officials in London struggle to resolve issues surrounding the Irish border that are stalling talks over Britain's departure from the European Union."
"33","British Prime Minister Theresa May told her Irish counterpart Leo Varadkar that she would propose suggestions to Brexit negotiators over the next 24 hours to try to break an impasse on the issue of the Irish border, Varadkar said on Wednesday."
"34","Ireland's prime minister said he was disappointed that Britain and the EU had failed to close a deal on Northern Ireland's border on Monday, and warned he would not accept any change to the substance of the agreement."
"35","Olympique Lyonnais moved up to second in Ligue 1 and within nine points of leaders Paris St Germain with a 2-1 win at Caen thanks to goals by Maxwell Cornet and Mariano on Sunday."
"36","Support for Ireland's governing Fine Gael party fell in a poll on Saturday as a political crisis that has left the country three days away from the calling of a snap election showed no sign of being resolved."
"37","More than 2,000 conservatives in tuxedos and gowns recently filled Union Station's main hall for a steak dinner and the chance to cheer the man who saved the Supreme Court from liberal control."
"38","Duras’s best-known novel has been reissued in an Everyman’s Library edition, alongside her “Wartime Notebooks” and “Practicalities,” a collection of essays."
"39","Britain's top share index was lifted from a two-month low on Wednesday as Brexit negotiations dented the pound, while Costa owner Whitbread got a late boost when activist investor Sachem Head declared a stake in the company."
"40","The key to British hopes of moving on to talks on trade ties with the European Union after it quits the bloc lies in Dublin, the European Council president said on Friday as Ireland called for ""credible"" solutions from London for the Irish border...."
"41","The European Union warned Britain on Friday that it must outline by next week how it plans to keep an open Irish border after Brexit or the bloc will refuse to start negotiating a new trade deal with the U.K."
"42","European Council President Donald Tusk will fly to Dublin on Friday afternoon for talks with Irish Prime Minister Leo Varadkar as a deadline looms for a Brexit deal with Britain on the Northern Ireland border."
"43","Ireland needs Britain to provide ""significantly more clarity"" on its plans for the Irish border, Foreign Minister Simon Coveney said on Thursday, denting hopes that London was on the verge of a deal to move on to the second phase of Brexit talks."
"44","Britain has offered to pay much of what the European Union was demanding to settle a Brexit ""divorce bill"", bringing the two sides close to agreement on a key obstacle to opening talks on a future free trade pact, EU sources said on Tuesday."
"45","Barcelona enjoyed a big win on Saturday without even playing."
"46","Irish Prime Minister Leo Varadkar ""is doing everything he can"" to avoid a snap general election, his spokesman said, but the crisis that has brought his minority government to the brink showed no obvious sign of resolution on Sunday.    "
"47","Having promised to pick any new Supreme Court justice from a list of pre-announced names, President Trump on Friday “refreshed” his list, adding five more judges."
"48","Our guide to film series and special screenings."
"49","Andersen talks about “You Can’t Spell America Without Me”; Liza Mundy discusses “Code Girls”; and Maria Russo on the season’s children’s books."
"50","Virtual reality is being used to test new airline cabins, and one airline is using facial recognition for boarding passengers on a flight."
"51","The European Union and Britain ended a flurry of top-level diplomacy on Monday without a deal on the terms of their divorce, as agreement on how to maintain an open Irish border after Brexit slipped out of the negotiators' grasp."
"52","The Latest on a hacking attack on a North Carolina county (all times local):"
"53","Johnny Hallyday, a singer known as the ""French Elvis"" whose cowboy swagger and gravelly voice helped popularize rock 'n roll in his country, has died at 74 after a battle with cancer, the office of the French president said on Wednesday."
"54","Prime Minister Theresa May failed to clinch a deal on Monday to open talks on post-Brexit free trade with the European Union after a tentative deal with Dublin to keep EU rules in Northern Ireland angered her allies in Belfast."
"55","The return of Dan Schoenholz, and an extra question in today’s puzzle for solvers."
"56","Today in History"
"57","Perhaps Roman Polak's luck is starting to turn."
"58","Johnny Hallyday, whose death at 74 was announced by his wife and the French president on Wednesday, was a rock and roll giant in his native France, surviving drug use, family strife and near-death episodes to strut the stage for more than 50 years..."
"59","Ireland's scandal-hit deputy prime minister resigned on Tuesday, averting a government collapse and potential snap election that had threatened to complicate Brexit talks next month between Britain and the European Union. "
"60","Harrowing tragedy abounds in these selections of fierce, female-centered fiction."
"61","Officials plan to close dozens of stations for months at a time, for both structural and cosmetic improvements. Some riders and local businesses say the closures will do more harm than good."
"62","A Northern Irish party scuppered a deal Prime Minister Theresa May had reached with the E.U., denying her a much-needed breakthrough in the stalled talks."
"63","Here’s what you need to know to start your day."
"64","Hours after a Brexit deal collapsed, British Prime Minister Theresa May came under pressure on Tuesday from opposition parties and even some allies to soften the EU divorce by keeping Britain in the single market and customs union after Brexit."
"65","Highlights of Tuesday's National Hockey League games:"
"66","British Prime Minister Theresa May meets European Commission President Jean-Claude Juncker for lunch in Brussels on Monday for what could be a breakthrough in Brexit talks."
"67","Dylan Jones’s “David Bowie: A Life” captures its subject’s radically plastic persona, his capacity to accommodate any identity at will."
"68","Here’s what you need to know to start your day."
"69","Republican lawyers and lawmakers are working together to install conservative judges on the influential federal appeals courts at a clip not seen in decades."
"70","Ayad Akhtar’s play portrays the financial excesses of the 1980s — part of what he calls “a collapse of a collective vision” of America — in ways that evoke unsettling new thoughts."
"71","Sean Mathias’s adaptation of the 1973 horror film and a David Mamet classic fall flat, but “Big Fish The Musical” gives our critic hope."
"72","A relative unknown prepares to follow Graydon Carter, who embraced the role of celebrity editor during his 25 years at the helm."
"73","Notable new seasonal releases from a wide variety of artists, including Gwen Stefani, Sia, Herb Alpert and Liz McComb. And some golden-oldie reissues."
"74","Let us give thanks for those occasional onstage mishaps that make even the feeblest theatrical productions memorable."
"75","The Latest on the fallout from President Donald Trump's recognition of Jerusalem as Israel's capital (all times local):"
